,工作标题,工作链接,工作地点,薪资,年限,学历,公司名,公司链接,公司行业,融资情况,人数,标签,福利
86,爬虫工程师,/job_detail/e99ec4cd582c3bd61XZ40t6-ElFZ.html,广州·海珠区·琶洲,12-13K·13薪,3-5年,本科,摩航时代,/gongsi/c6fc1749530f1c070HZ-0924FA~~.html,互联网,不需要融资,100-499人,"['Java', '网络爬虫技术', '搜索引擎技术', '分布式技术', '多线程', 'Scrapy', 'Flask', 'NoSQL']",周末双休，零食下午茶，包吃，带薪年假，五险一金，股票期权，年终奖，定期体检，节日福利，全勤奖，员工旅游
87,爬虫工程师,/job_detail/c641cedc9a478fa71XV62N6-F1pU.html,广州·越秀区·东风东,10-15K,3-5年,本科,众成大数据,/gongsi/57bbf79ef647fa591nN93Ni5FVo~.html,互联网,A轮,100-499人,"['网络爬虫技术', '分布式技术', 'Redis', 'MongoDB', 'Scrapy', 'MySQL', '多线程', '消息队列']",年终奖，股票期权，加班补助，餐补，带薪年假，节日福利，零食下午茶，五险一金，员工旅游
88,高级爬虫工程师,/job_detail/7a68f26109eadfbe1nxy3t21E1dQ.html,广州·海珠区·东晓,15-20K,3-5年,本科,广州准星,/gongsi/e589f8624be64e6a1nZ80tu-EQ~~.html,广告营销,未融资,20-99人,"['网络爬虫技术', '搜索引擎技术', '数据结构', '架构师', 'Scrapy', 'Pyspider', 'NoSQL', 'Redis']",带薪年假，零食下午茶，节日福利，五险一金，员工旅游
89,高级爬虫工程师,/job_detail/cd87bcd9303c3dbb1XV52dS_EFJR.html,广州·天河区·跑马场,11-18K,3-5年,大专,谷仓,/gongsi/0ece157fa53548a01XR72dW8E1o~.html,数据服务,天使轮,20-99人,"['Go', '网络爬虫技术', '高级软件工程师', '搜索引擎技术', '算法基础', '数据结构', 'Scrapy', 'Python']",加班补助，年终奖，双休，股票期权，节日福利，带薪年假，全勤奖，员工旅游，零食下午茶
90,爬虫开发工程师,/job_detail/197cb4980c16bf361XZ-2Nu1FFJS.html,广州·番禺区·大学城,15-30K·14薪,3-5年,本科,探迹,/gongsi/8dda792e8b6182601HR72dq5.html,互联网,B轮,1000-9999人,"['Python', 'Java', 'MySQL', '网络技术爬虫']",定期体检，带薪年假，节日福利，补充医疗保险，定期团建，年终奖，加班补助，五险一金，零食下午茶，通讯补贴，股票期权，员工旅游，全勤奖，餐补
91,高级爬虫工程师,/job_detail/33df99ac808bc6f91n1_3d-9EFtV.html,广州·天河区·猎德,18-30K·13薪,3-5年,本科,数说故事,/gongsi/2da27d046163a2b803N90t67.html,互联网,C轮,500-999人,"['Python', 'Java', '网络爬虫技术', '分布式技术']",年终奖，定期体检，员工旅游，带薪年假，五险一金，零食下午茶，节日福利
92,爬虫工程师,/job_detail/e1c2e82818d08eed1XVz0t27ElVW.html,广州·天河区·小新塘,15-20K·13薪,3-5年,本科,数源智汇,/gongsi/ec9315b998a5b1661n1y0tq8EFA~.html,计算机软件,A轮,100-499人,"['Java', 'Python']",带薪年假，员工旅游，节日福利，股票期权，年终奖，五险一金，商业保险
93,爬虫工程师,/job_detail/5b9b746c36898a5b1nxz0tq1F1Y~.html,广州·番禺区·南村,12-20K,5-10年,本科,头文科技,/gongsi/deba5da024a62a731nF729S-Fg~~.html,互联网,A轮,100-499人,"['python爬虫', '爬虫工程师', '逆向']",带薪年假，节日福利，零食下午茶，股票期权，全勤奖
94,爬虫工程师,/job_detail/13266c001de3761a1n1y0ty5GFFQ.html,广州·越秀区·环市东,10-15K·13薪,1-3年,本科,诚医,/gongsi/f37a061ce19de7f51nx53Nu6F1U~.html,医疗健康,未融资,20-99人,"['Python', '网络爬虫技术']",五险一金，定期体检，节日福利，加班补助，员工旅游，零食下午茶，年终奖，全勤奖
95,爬虫工程师,/job_detail/a66edd56437a29831nJz3Nq5F1tT.html,广州·海珠区·琶洲,18-28K,3-5年,大专,湛蓝科技,/gongsi/e081dd0cedd9ef5c1nJ52du_Elc~.html,运营商/增值服务,未融资,1000-9999人,"['分布式技术', '网络爬虫技术', '数据结构', 'Redis', 'MySQL', 'Django', 'Flask']",调薪机制，带薪年假，节日福利，零食下午茶，员工旅游，五险一金
96,安全产品研发工程师,/job_detail/e348e8021621d18a1XV729i0ElZV.html,广州·天河区·燕岭,10-15K·13薪,1-3年,本科,魔方安全科技,/gongsi/872ae04c8b8d7dea1nJ63d21Ew~~.html,信息安全,A轮,20-99人,"['Python', '安全开发', '爬虫', '渗透测试']",加班补助，定期体检，全勤奖，节日福利，年终奖，带薪年假，员工旅游，零食下午茶，五险一金
97,爬虫工程师,/job_detail/dad71f932e13a0f01XZ-2dS4FldT.html,广州·白云区·黄边,10-14K·13薪,1-3年,大专,本圆,/gongsi/5ec66b69de9ef7301n1-2dW4FVo~.html,电子商务,不需要融资,100-499人,"['Scrapy', 'python', '爬虫工程师', '网络爬虫', '电商', '网页爬虫', 'JS反爬', '逆爬']",节日福利，五险一金，零食下午茶，员工旅游，定期体检，年终奖，带薪年假，加班补助
98,高级爬虫工程师,/job_detail/7c5babcd1f03c2fe1XZ73t2_GFFZ.html,广州·海珠区·赤岗,15-30K,3-5年,大专,广州韩味服饰有限公司,/gongsi/5cbf4ae09a942c010H1909y9.html,互联网,未融资,100-499人,"['Python', 'HDFS']",零食下午茶，年终奖，带薪年假，包吃，社保，全勤奖，节日福利
99,java爬虫实习生,/job_detail/1e756a83c0a145291n163dS4GFZV.html,广州·天河区·石牌,3-5K,在校/应届,本科,比地数据,/gongsi/9dc54143369694501HZ-2Ni5.html,数据服务,未融资,100-499人,"['CSS', 'Spring', 'Hibernate', 'Eclipse', 'JSON']",年终奖，带薪年假，五险一金，节日福利，定期体检，员工旅游，零食下午茶
100,数据采集工程师,/job_detail/516d27f7e7e083dc1nB92Nm9EFZU.html,广州·黄埔区·科学城,6-10K,1-3年,大专,信达天下,/gongsi/261ba0448edd96ca0nFy3dy6.html,旅游,不需要融资,20-99人,"['Python', '数据采集', '数据挖掘', '爬虫']",
101,python开发工程师,/job_detail/390019a5b6f95c171nZz2dS5GFRW.html,广州·荔湾区·西关,7-12K,1-3年,大专,广州云智电子商务,/gongsi/89e295cee6841f641nB80tu7FFI~.html,电子商务,,100-499人,"['python', '爬虫', '开发', 'web爬虫']",
102,Python爬虫开发工程师,/job_detail/007ae4d140f693491XVz2tS-GFpY.html,广州·番禺区·大学城,15-30K·14薪,3-5年,本科,寻星网络,/gongsi/60a9e1ad9ebd19691XR909-4GFY~.html,互联网,,1000-9999人,"['Java', 'C++', 'Python', '网络爬虫技术', '分布式技术', '数据结构', 'NoSQL', 'MySQL']",
103,数据爬虫工程师,/job_detail/222c5efe48934bf61nJ809S0GVtX.html,广州·海珠区·客村,20-40K·13薪,5-10年,本科,青木科技,/gongsi/0ad54882c70985481n1z2dQ~.html,电子商务,不需要融资,1000-9999人,"['Python', 'Go', 'PHP', '网络爬虫技术', '分布式技术', '反反爬虫', '电商平台']",全勤奖，年终奖，五险一金，定期体检，带薪年假，员工旅游，零食下午茶，节日福利，餐补
104,python开发工程师（爬虫）,/job_detail/5abf111e6d051d4a1XZ509q4ElVQ.html,广州·天河区·体育中心,13-20K,3-5年,本科,企企通,/gongsi/ef1a5c39019886791HF40ty0.html,企业服务,C轮,1000-9999人,"['电商', 'python']",节日福利，五险一金，带薪年假，股票期权，零食下午茶，通讯补贴
105,爬虫高级工程师（双休+高新）,/job_detail/5cd33bbf00d9568d1n1_3d65EVpU.html,广州·天河区·燕岭,15-25K,3-5年,本科,万晟,/gongsi/31911c880fc141a91nZ60tm1EVE~.html,咨询,未融资,20-99人,"['Python', '网络爬虫技术', '分布式技术', '数据挖掘', 'MySQL', 'Redis', 'Wireshark', 'SQL']",零食下午茶，定期体检，带薪年假，通讯补贴，节日福利，全勤奖，餐补，年终奖，住房补贴，员工旅游，五险，交通补助
106,爬虫工程师,/job_detail/e23979fb48b1a1731XZ50tS5GVZR.html,广州·海珠区·南洲,15-25K·13薪,3-5年学历,不限,钱大妈,/gongsi/f90ec87361e14e0f1HJz29u8.html,生活服务,D轮及以上,1000-9999人,"['网络爬虫技术', '分布式技术', '多线程', 'Scrapy']",年终奖，节日福利，股票期权，全勤奖，员工旅游，五险一金，工作午餐，带薪年假，定期体检
107,Python开发工程师,/job_detail/caadd9083c5515511n183d66GFVS.html,广州·天河区·体育中心,6-9K,1-3年,大专,信晨,/gongsi/9b90dd30b392cc0f1nxz09-7Fw~~.html,计算机软件,不需要融资,100-499人,"['容器技术', '软件工程师', 'RPA', '爬虫']",聚餐，包吃，节日福利，带薪年假，员工旅游，交通补助，零食下午茶，年终奖，通讯补贴，全勤奖，定期体检
108,Java爬虫开发工程师,/job_detail/8e030104a1a7e5691nJ82tS7F1ZY.html,广州·海珠区·琶洲,5-10K,1-3年,本科,超级课程表,/gongsi/caa1d9ba400fe4871XZ42N61.html,移动互联网,B轮,20-99人,['java'],定期体检，零食下午茶，节日福利，员工旅游，年终奖，全勤奖，交通补助，带薪年假，五险一金
109,逆向爬虫开发工程师,/job_detail/1fcc8b10b22fac9e1XZ62d2-FlpS.html,广州·黄埔区·鱼珠,20-30K,5-10年,本科,广州萌啦信息科技...,/gongsi/738b422e5700e2cc1nV72Nu1ElI~.html,互联网,未融资,100-499人,['网络爬虫技术'],全勤奖，加班补助，员工旅游，节日福利，通讯补贴，带薪年假，零食下午茶，年终奖，生日福利，团建聚餐，五险一金，交通补助
110,大数据爬虫实习生,/job_detail/e1c266a10dd8bb1b1XV80ty9GVRX.html,广州·海珠区·琶洲,130-160元/天,4天/周5个月,大专,问权知识产权,/gongsi/c03255a7ba3e3dae1XR-09u_FVU~.html,专利/商标/知识产权,未融资,20-99人,"['Django', 'Pyspider', 'Scrapy', '软件工程师', '数据结构', '网络爬虫技术', 'Python', 'MySQL']",全勤奖，五险一金，带薪年假，节日福利，员工旅游
111,RPA开发工程师,/job_detail/1277b65dad6df1741nZz09i0ElRZ.html,广州·越秀区·五羊新城,6-11K·13薪,经验不限学历,不限,广州申迪,/gongsi/4b2265175fbe876b1X1y0ty1.html,计算机软件,未融资,500-999人,"['Java', 'python', 'RPA', 'Xpath', 'selenium', '爬虫']",补充医疗保险，电脑补贴，年终奖，带薪年假，交通补助，零食下午茶，餐补，节日福利，通讯补贴，员工旅游，五险一金，定期体检
112,爬虫工程师（实习生）,/job_detail/34c540acec3e04eb1nJ-3dy5EVdX.html,广州·天河区·珠江新城,130-150元/天,4天/周1个月,大专,赢商网,/gongsi/44b64e410b64bc111HB42tu-.html,移动互联网,D轮及以上,500-999人,['网络爬虫技术'],节日福利，定期体检，零食下午茶，年终奖，餐补，带薪年假，五险一金，员工旅游，交通补助，全勤奖
113,爬虫工程师,/job_detail/90b8c37fb069e4f71XZ50tu5FlVW.html,广州·海珠区·赤岗,15-30K,3-5年,本科,Locals路客,/gongsi/8f07627f619c342a0nd809u-.html,互联网,B轮,500-999人,"['Python', '深度学习算法', '机器学习算法', '验证码', '逆向']",带薪年假，保底工资，夜班补助，节日福利，团建聚餐，股票期权，五险一金
114,爬虫工程师,/job_detail/94447938c08fcdb71nFy2dm7GVdY.html,广州·天河区·天平架,6-10K,经验不限学历,不限,东域科技,/gongsi/ae9e4a001a6197db33Vz2dm-.html,互联网,天使轮,20-99人,['网络爬虫技术'],股票期权
